country,buyers,topbuyers,topbuyerratio,femalebuyers,malebuyers,topfemalebuyers,topmalebuyers,femalebuyersratio,topfemalebuyersratio,boughtperwishlistratio,boughtperlikeratio,topboughtperwishlistratio,topboughtperlikeratio,totalproductsbought,totalproductswished,totalproductsliked,toptotalproductsbought,toptotalproductswished,toptotalproductsliked,meanproductsbought,meanproductswished,meanproductsliked,topmeanproductsbought,topmeanproductswished,topmeanproductsliked,meanofflinedays,topmeanofflinedays,meanfollowers,meanfollowing,topmeanfollowers,topmeanfollowing
France,1251,53,4.2,851,400,33,20,68.0,62.3,26.08,14.15,36.37,23.21,3573,13700,25249,1487,4089,6406,2.9,11.0,20.2,28.1,77.2,120.9,321.8,75.0,4.8,8.8,10.1,11.0
Royaume-Uni,792,38,4.8,560,232,30,8,70.7,78.9,14.97,9.3,13.93,11.59,2174,14524,23378,853,6124,7362,2.7,18.3,29.5,22.4,161.2,193.7,298.3,68.2,5.4,8.8,11.1,12.2
Etats-Unis,912,31,3.4,700,212,21,10,76.8,67.7,21.84,7.92,23.35,12.44,2370,10852,29917,864,3701,6946,2.6,11.9,32.8,27.9,119.4,224.1,359.3,73.0,4.9,9.7,11.7,27.9
Allemagne,578,29,5.0,409,169,21,8,70.8,72.4,13.91,6.88,10.13,4.85,1635,11758,23761,516,5096,10648,2.8,20.3,41.1,17.8,175.7,367.2,296.6,39.3,5.1,8.6,11.2,11.3
Italie,400,21,5.3,283,117,14,7,70.8,66.7,12.56,8.6,11.86,23.91,1221,9720,14200,519,4376,2171,3.1,24.3,35.5,24.7,208.4,103.4,247.9,40.9,6.4,11.6,14.3,15.4
Espagne,255,21,8.2,189,66,18,3,74.1,85.7,12.98,6.2,11.94,6.21,1028,7918,16579,558,4673,8984,4.0,31.1,65.0,26.6,222.5,427.8,271.1,39.4,7.0,9.5,17.6,11.6
Pays-Bas,144,15,10.4,118,26,10,5,81.9,66.7,19.69,8.73,27.21,11.81,537,2727,6154,295,1084,2498,3.7,18.9,42.7,19.7,72.3,166.5,191.6,14.3,6.3,9.0,17.7,10.5
Suède,151,11,7.3,113,38,7,4,74.8,63.6,11.35,5.52,12.57,5.02,566,4987,10256,234,1862,4658,3.7,33.0,67.9,21.3,169.3,423.5,189.1,86.0,7.4,9.1,20.2,9.5
Finlande,64,10,15.6,53,11,9,1,82.8,90.0,35.33,9.29,42.23,24.26,331,937,3562,212,502,874,5.2,14.6,55.7,21.2,50.2,87.4,184.9,121.1,6.7,9.2,10.3,12.5
Danemark,157,9,5.7,127,30,9,0,80.9,100.0,12.89,1.66,6.85,4.03,438,3399,26413,141,2059,3499,2.8,21.6,168.2,15.7,228.8,388.8,156.0,19.3,5.6,8.6,11.7,9.7
Australie,126,9,7.1,92,34,8,1,73.0,88.9,27.75,5.17,39.66,4.83,398,1434,7692,184,464,3812,3.2,11.4,61.0,20.4,51.6,423.6,273.7,102.4,6.3,8.9,11.6,10.6
Belgique,90,7,7.8,73,17,7,0,81.1,100.0,23.67,37.47,23.82,439.06,718,3033,1916,562,2359,128,8.0,33.7,21.3,80.3,337.0,18.3,220.9,16.0,5.5,8.5,8.7,8.4
Autriche,49,6,12.2,40,9,5,1,81.6,83.3,14.14,8.37,16.84,9.53,242,1712,2893,144,855,1511,4.9,34.9,59.0,24.0,142.5,251.8,295.7,19.7,6.0,8.8,9.7,10.0
Bulgarie,9,4,44.4,7,2,3,1,77.8,75.0,3.29,14.26,3.0,13.84,95,2891,666,84,2803,607,10.6,321.2,74.0,21.0,700.8,151.8,82.2,37.0,20.8,32.7,39.5,62.8
Canada,65,3,4.6,45,20,3,0,69.2,100.0,8.51,2.89,40.94,13.1,155,1822,5367,52,127,397,2.4,28.0,82.6,17.3,42.3,132.3,325.6,51.0,6.1,8.6,16.3,12.0
Roumanie,28,3,10.7,22,6,2,1,78.6,66.7,14.22,6.84,15.19,7.44,162,1139,2369,94,619,1263,5.8,40.7,84.6,31.3,206.3,421.0,122.1,16.3,6.0,8.4,12.3,8.0
Hong Kong,28,3,10.7,22,6,2,1,78.6,66.7,6.75,1.61,9.21,1.06,112,1660,6960,64,695,6063,4.0,59.3,248.6,21.3,231.7,2021.0,157.5,68.3,9.4,12.4,14.3,11.0
Luxembourg,13,3,23.1,10,3,3,0,76.9,100.0,32.73,35.14,30.94,46.04,162,495,461,151,488,328,12.5,38.1,35.5,50.3,162.7,109.3,229.4,11.3,9.6,8.3,26.0,8.7
Portugal,18,2,11.1,12,6,1,1,66.7,50.0,1.83,3.42,18.07,4.48,72,3931,2108,30,166,670,4.0,218.4,117.1,15.0,83.0,335.0,159.9,11.0,9.2,15.8,21.0,11.5
Chine,13,2,15.4,9,4,2,0,69.2,100.0,292.11,18.78,1300.0,20.68,111,38,591,91,7,440,8.5,2.9,45.5,45.5,3.5,220.0,315.9,189.0,4.7,8.5,6.0,10.0
