country,sex,nbsellers,meanproductssold,meanproductslisted,meansellerpassrate,totalproductssold,totalproductslisted,meanproductsbought,meanproductswished,meanproductsliked,totalbought,totalwished,totalproductsliked,meanfollowers,meanfollows,percentofappusers,percentofiosusers,meanseniority
Allemagne,Female,116,4.03,2.72,27.33,468,315,3.05,34.66,35.28,354,4021,4092,9.5,8.9,54.0,49.0,3060.3362068965516
Allemagne,Male,34,2.0,1.0,19.15,68,34,1.62,3.38,31.79,55,115,1081,7.8,8.4,79.0,64.0,3089.0588235294117
Arménie,Female,1,0.0,25.0,0.0,0,25,0.0,0.0,1.0,0,0,1,4.0,8.0,,,3201.0
Australie,Female,18,0.94,1.33,10.44,17,24,6.11,17.72,209.28,110,319,3767,7.5,9.3,55.0,55.0,3103.6666666666665
Australie,Male,3,6.0,4.0,33.33,18,12,8.0,24.0,38.33,24,72,115,12.7,8.3,66.0,66.0,3085.6666666666665
Autriche,Female,18,3.28,2.5,38.67,59,45,3.39,31.94,33.0,61,575,594,6.9,8.4,61.0,50.0,3048.222222222222
Autriche,Male,5,1.6,0.2,35.0,8,1,0.8,5.0,0.8,4,25,4,6.2,8.0,60.0,60.0,3133.0
Bahamas,Female,1,1.0,0.0,0.0,1,0,0.0,0.0,0.0,0,0,0,4.0,8.0,,,2857.0
Belgique,Female,37,2.41,1.89,29.59,89,70,12.03,57.24,20.11,445,2118,744,8.3,8.5,62.0,48.0,3041.0810810810813
Belgique,Male,8,3.13,1.75,26.13,25,14,0.63,1.13,1.25,5,9,10,8.4,9.3,62.0,37.0,3069.625
Bulgarie,Female,7,22.29,11.71,71.71,156,82,4.86,124.43,120.29,34,871,842,29.1,14.4,71.0,57.0,3150.1428571428573
Bulgarie,Male,3,4.67,0.33,54.0,14,1,14.0,633.67,11.0,42,1901,33,19.7,63.7,100.0,100.0,3082.6666666666665
Canada,Female,3,2.33,0.33,25.0,7,1,0.0,1.33,6.33,0,4,19,5.7,8.7,33.0,33.0,3085.6666666666665
