identifierHash,type,country,language,socialNbFollowers,socialNbFollows,socialProductsLiked,productsListed,productsSold,productsPassRate,productsWished,productsBought,gender,civilityGenderId,civilityTitle,hasAnyApp,hasAndroidApp,hasIosApp,hasProfilePicture,daysSinceLastLogin,seniority,seniorityAsMonths,seniorityAsYears,countryCode
-4076572157296926886,user,Australie,en,3,8,0,0,0,0.0,1,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,au
826039198870602900,user,Italie,fr,3,8,0,0,0,0.0,0,0,M,1,mr,True,False,True,True,701,3197,106.57,8.88,it
-2786552575424065519,user,Espagne,es,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,701,3197,106.57,8.88,es
-4440904281384901076,user,Irlande,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,ie
-142469374967752474,user,Canada,en,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,701,3197,106.57,8.88,ca
-6817257646132716473,user,Ukraine,en,3,9,1,0,0,0.0,0,0,F,2,mrs,True,False,True,True,604,3197,106.57,8.88,ua
-2558128389559353153,user,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,gb
-314297353841782212,user,Croatie,en,3,8,34,0,0,0.0,31,0,F,2,mrs,True,False,True,True,97,3197,106.57,8.88,hr
-6889699491074595307,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,us
-3786406415455042042,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,628,3197,106.57,8.88,fr
2139163207505067602,user,Géorgie,en,3,8,1,0,0,0.0,0,0,F,2,mrs,True,False,True,True,479,3197,106.57,8.88,ge
6416250820408600539,user,Australie,en,6,8,1,0,0,0.0,8,3,F,2,mrs,False,False,False,True,38,3197,106.57,8.88,au
-4401945126336685204,user,Espagne,es,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,683,3197,106.57,8.88,es
-6097577131778301473,user,Royaume-Uni,en,3,8,7,0,0,0.0,0,0,M,1,mr,False,False,False,True,370,3197,106.57,8.88,gb
-3223800512762454811,user,Espagne,es,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,663,3197,106.57,8.88,es
8497684796611605197,user,France,fr,9,10,13,0,0,0.0,2,1,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,fr
-3749388836079126900,user,Etats-Unis,it,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,700,3197,106.57,8.88,us
