identifierHash,type,countryCode,country,language,socialNbFollowers,socialNbFollows,socialProductsLiked,productsListed,productsSold,productsPassRate,productsWished,productsBought,gender,civilityGenderId,civilityTitle,hasProfilePicture,seniority,seniorityAsMonths,seniorityAsYears,websiteLongevity
1920991140,user,us,Etats-Unis,en,3,8,0,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1920860068,user,se,Suède,en,3,8,1,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1920401316,user,it,Italie,fr,3,8,0,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1919811492,user,dk,Danemark,en,75,10,1968,0,0,0.0,43,15,M,1,mr,True,3206,106.87,8.91,3803
1919025060,user,de,Allemagne,de,3,8,0,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1918697380,user,it,Italie,it,3,8,0,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1918042020,user,dk,Danemark,en,3,8,3,0,0,0.0,1,0,M,1,mr,True,3206,106.87,8.91,3803
1917845412,user,fr,France,fr,35,8,24,0,1,0.0,8,3,M,1,mr,False,3206,106.87,8.91,3803
1916338084,user,fr,France,en,3,8,0,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1916207012,user,fr,France,en,3,8,0,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1915682724,user,fr,France,fr,11,9,21,0,2,100.0,2,2,M,1,mr,True,3206,106.87,8.91,3803
1914961828,user,fr,France,fr,4,8,41,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1914634148,user,ca,Canada,en,4,10,5,0,0,0.0,7,2,M,1,mr,True,3206,106.87,8.91,3803
1914437540,user,de,Allemagne,de,3,8,31,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1914175396,user,gb,Royaume-Uni,en,7,8,22,0,0,0.0,15,5,M,1,mr,True,3206,106.87,8.91,3803
1913913252,user,us,Etats-Unis,en,3,8,4,0,0,0.0,3,0,M,1,mr,True,3206,106.87,8.91,3803
1913782180,user,us,Etats-Unis,en,5,8,74,0,1,0.0,7,0,M,1,mr,True,3206,106.87,8.91,3803
1913520036,user,au,Australie,en,3,8,1,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1913454500,user,us,Etats-Unis,en,3,8,16,0,0,0.0,0,1,M,1,mr,True,3206,106.87,8.91,3803
1912864676,user,us,Etats-Unis,en,4,8,0,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1912602532,user,fr,France,es,6,11,5,0,0,0.0,0,0,M,1,mr,False,3206,106.87,8.91,3803
1912143780,user,gb,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1912012708,user,fr,France,fr,11,8,6,0,2,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1911816100,user,de,Allemagne,de,3,8,0,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1911095204,user,fr,France,fr,3,8,1,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1910964132,user,fr,France,fr,3,8,4,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1910636452,user,us,Etats-Unis,en,3,8,3,0,0,0.0,0,1,M,1,mr,True,3206,106.87,8.91,3803
1910570916,user,au,Australie,en,3,8,5,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1910505380,user,it,Italie,it,12,10,5,0,0,0.0,6,0,M,1,mr,True,3206,106.87,8.91,3803
1910374308,user,gb,Royaume-Uni,en,4,9,2,0,0,0.0,1,0,M,1,mr,True,3206,106.87,8.91,3803
1910243236,user,ie,Irlande,en,11,14,135,0,0,0.0,0,14,M,1,mr,True,3206,106.87,8.91,3803
1909981092,user,gb,Royaume-Uni,en,12,8,0,0,3,66.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1909784484,user,au,Australie,en,13,19,427,0,0,0.0,10,1,M,1,mr,True,3206,106.87,8.91,3803
1909325732,user,fr,France,fr,3,8,23,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1909194660,user,fr,France,fr,3,8,4,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1908866980,user,us,Etats-Unis,en,3,8,4,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1908801444,user,de,Allemagne,de,4,8,1,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1908670372,user,de,Allemagne,de,3,8,24,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1908473764,user,de,Allemagne,de,3,9,0,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1907949476,user,au,Australie,en,3,8,0,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1907490724,user,gb,Royaume-Uni,en,3,8,3,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1907294116,user,au,Australie,en,7,8,89,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1906900900,user,us,Etats-Unis,en,3,8,38,0,0,0.0,0,7,M,1,mr,True,3206,106.87,8.91,3803
1906442148,user,it,Italie,it,3,8,10,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1906114468,user,es,Espagne,es,3,8,0,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1905328036,user,gb,Royaume-Uni,en,3,8,8,0,0,0.0,1,0,M,1,mr,True,3206,106.87,8.91,3803
1905065892,user,au,Australie,en,4,1,0,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1904476068,user,es,Espagne,es,3,8,1,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1904279460,user,us,Etats-Unis,en,4,8,4,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1904017316,user,au,Australie,en,8,12,93,0,0,0.0,0,1,M,1,mr,False,3206,106.87,8.91,3803
1903689636,user,gb,Royaume-Uni,en,3,9,4,0,0,0.0,0,5,M,1,mr,True,3206,106.87,8.91,3803
1903624100,user,gb,Royaume-Uni,en,47,9,15,118,83,96.0,0,7,M,1,mr,False,3206,106.87,8.91,3803
1903296420,user,fr,France,en,3,8,0,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1903230884,user,fr,France,en,3,8,0,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1902968740,user,us,Etats-Unis,en,10,9,59,0,0,0.0,1,0,M,1,mr,True,3206,106.87,8.91,3803
1902772132,user,us,Etats-Unis,en,3,8,1,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1902706596,user,gb,Royaume-Uni,en,4,8,1,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1902378916,user,au,Australie,en,4,8,6,2,3,66.0,0,1,M,1,mr,False,3206,106.87,8.91,3803
1902247844,user,jp,Japon,en,5,8,12,0,0,0.0,1,1,M,1,mr,True,3206,106.87,8.91,3803
1902116772,user,us,Etats-Unis,en,3,8,4,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1901920164,user,gb,Royaume-Uni,en,7,9,66,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1901789092,user,gb,Royaume-Uni,en,9,13,15,0,0,0.0,22,0,M,1,mr,True,3206,106.87,8.91,3803
1901068196,user,es,Espagne,es,9,8,90,0,1,0.0,0,18,M,1,mr,True,3206,106.87,8.91,3803
1900937124,user,fr,France,fr,3,8,0,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1899823012,user,gb,Royaume-Uni,en,3,8,2,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1899691940,user,it,Italie,it,3,8,0,0,0,0.0,5,0,M,1,mr,True,3206,106.87,8.91,3803
1899626404,user,us,Etats-Unis,en,4,8,0,0,0,0.0,0,1,M,1,mr,True,3206,106.87,8.91,3803
1899233188,user,,Nouvelle Zélande,en,3,8,9,0,0,0.0,1,0,M,1,mr,True,3206,106.87,8.91,3803
1898381220,user,us,Etats-Unis,en,3,8,7,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1898250148,user,us,Etats-Unis,en,3,8,23,0,0,0.0,1,1,M,1,mr,True,3206,106.87,8.91,3803
1897856932,user,au,Australie,en,4,8,12,0,0,0.0,7,0,M,1,mr,True,3206,106.87,8.91,3803
1897529252,user,hk,Hong Kong,en,3,8,5,0,0,0.0,5,0,M,1,mr,True,3206,106.87,8.91,3803
1896677284,user,us,Etats-Unis,es,3,8,0,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1895497636,user,gb,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1895432100,user,be,Belgique,fr,3,8,0,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1895169956,user,au,Australie,en,4,8,10,0,0,0.0,2,0,M,1,mr,True,3206,106.87,8.91,3803
1895104420,user,fr,France,en,3,8,0,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1894973348,user,fr,France,en,3,8,0,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1894514596,user,us,Etats-Unis,en,3,8,0,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1894055844,user,ro,Roumanie,en,59,12,318,20,33,77.0,28,17,M,1,mr,True,3206,106.87,8.91,3803
1893728164,user,us,Etats-Unis,en,4,8,20,0,0,0.0,0,2,M,1,mr,True,3206,106.87,8.91,3803
1893662628,user,us,Etats-Unis,en,5,8,111,0,0,0.0,0,1,M,1,mr,True,3206,106.87,8.91,3803
1893597092,user,us,Etats-Unis,en,3,8,2,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1893138340,user,tt,Trinidad et Tobago,en,11,8,19,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1891303332,user,us,Etats-Unis,en,3,8,1,0,0,0.0,2,0,M,1,mr,True,3206,106.87,8.91,3803
1891172260,user,us,Etats-Unis,en,3,8,1,0,0,0.0,2,9,M,1,mr,True,3206,106.87,8.91,3803
1891106724,user,gb,Royaume-Uni,en,32,9,29,0,5,100.0,1,0,M,1,mr,True,3206,106.87,8.91,3803
1890910116,user,us,Etats-Unis,en,3,8,0,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1890713508,user,us,Etats-Unis,en,5,10,8,0,0,0.0,147,7,M,1,mr,True,3206,106.87,8.91,3803
1890516900,user,us,Etats-Unis,en,13,9,336,0,0,0.0,1,1,M,1,mr,True,3206,106.87,8.91,3803
1889468324,user,sg,Singapour,en,3,8,0,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1889337252,user,us,Etats-Unis,en,3,8,0,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1889206180,user,it,Italie,it,3,8,0,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
